motor,harga_otr,dp,pct_dp,tenor,cicilan
REVO FIT FI,19475000.0,4200000.0,0.2157,24,1028000.0
REVO FIT FI,19475000.0,4200000.0,0.2157,30,880000.0
REVO FIT FI,19475000.0,4200000.0,0.2157,36,775000.0
REVO FIT FI,19475000.0,4300000.0,0.2208,12,1755000.0
REVO FIT FI,19475000.0,4300000.0,0.2208,18,1265000.0
REVO FIT FI,19475000.0,4300000.0,0.2208,24,1022000.0
REVO FIT FI,19475000.0,4300000.0,0.2208,30,875000.0
REVO FIT FI,19475000.0,4300000.0,0.2208,36,771000.0
REVO FIT FI,19475000.0,4400000.0,0.2259,12,1745000.0
REVO FIT FI,19475000.0,4400000.0,0.2259,18,1258000.0
REVO FIT FI,19475000.0,4400000.0,0.2259,24,1016000.0
REVO FIT FI,19475000.0,4400000.0,0.2259,30,870000.0
REVO FIT FI,19475000.0,4400000.0,0.2259,36,767000.0
REVO FIT FI,19475000.0,4500000.0,0.2311,12,1735000.0
REVO FIT FI,19475000.0,4500000.0,0.2311,18,1251000.0
REVO FIT FI,19475000.0,4500000.0,0.2311,24,1010000.0
REVO FIT FI,19475000.0,4500000.0,0.2311,30,865000.0
REVO FIT FI,19475000.0,4500000.0,0.2311,36,763000.0
REVO FIT FI,19475000.0,4600000.0,0.2362,12,1725000.0
REVO FIT FI,19475000.0,4600000.0,0.2362,18,1244000.0
REVO FIT FI,19475000.0,4600000.0,0.2362,24,1004000.0
REVO FIT FI,19475000.0,4600000.0,0.2362,30,860000.0
REVO FIT FI,19475000.0,4600000.0,0.2362,36,759000.0
REVO FIT FI,19475000.0,4700000.0,0.2413,12,1715000.0
REVO FIT FI,19475000.0,4700000.0,0.2413,18,1237000.0
REVO FIT FI,19475000.0,4700000.0,0.2413,24,998000.0
REVO FIT FI,19475000.0,4700000.0,0.2413,30,855000.0
REVO FIT FI,19475000.0,4700000.0,0.2413,36,755000.0
REVO FIT FI,19475000.0,4800000.0,0.2465,12,1705000.0
REVO FIT FI,19475000.0,4800000.0,0.2465,18,1230000.0
REVO FIT FI,19475000.0,4800000.0,0.2465,24,992000.0
REVO FIT FI,19475000.0,4800000.0,0.2465,30,850000.0
REVO FIT FI,19475000.0,4800000.0,0.2465,36,751000.0
REVO FIT FI,19475000.0,4900000.0,0.2516,12,1695000.0
REVO FIT FI,19475000.0,4900000.0,0.2516,18,1223000.0
REVO FIT FI,19475000.0,4900000.0,0.2516,24,986000.0
REVO FIT FI,19475000.0,4900000.0,0.2516,30,845000.0
REVO FIT FI,19475000.0,4900000.0,0.2516,36,747000.0
REVO FIT FI,19475000.0,5000000.0,0.2567,12,1685000.0
REVO FIT FI,19475000.0,5000000.0,0.2567,18,1216000.0
REVO FIT FI,19475000.0,5000000.0,0.2567,24,980000.0
REVO FIT FI,19475000.0,5000000.0,0.2567,30,840000.0
REVO FIT FI,19475000.0,5000000.0,0.2567,36,743000.0
REVO FIT FI,19475000.0,5100000.0,0.2619,12,1675000.0
REVO FIT FI,19475000.0,5100000.0,0.2619,18,1209000.0
